Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
17-May-2016,94.00,96.00,89.00,89.90,92.950298660446046725,141465,586,13149214.00,26515,18.74,7.00,-4.10
16-May-2016,91.90,96.90,90.50,93.20,93.353561762165274978,260475,1008,24316269.00,29573,11.35,6.40,1.30
13-May-2016,90.95,95.30,87.50,90.75,90.926748983234338882,68354,406,6215207.00,17769,26.00,7.80,-0.20
12-May-2016,90.20,94.40,87.40,90.40,90.704713290516934792,95602,888,8671552.00,26863,28.10,7.00,0.20
11-May-2016,78.25,92.40,78.25,88.35,86.076160522575377264,165335,956,14231402.00,42284,25.57,14.15,10.10
10-May-2016,81.00,81.60,78.75,81.15,80.599681303116147308,39536,188,3186589.00,3838,9.71,2.85,0.15
9-May-2016,79.70,82.45,79.15,80.35,80.242672351145777820,41282,188,3312578.00,4251,10.30,3.30,0.65
6-May-2016,80.50,82.00,78.10,78.75,79.918662485808509488,36994,109,2956511.00,1746,4.72,3.90,-1.75
5-May-2016,80.50,81.50,79.40,79.85,80.686400162750483165,39324,148,3172912.00,2346,5.97,2.10,-0.65
4-May-2016,80.00,81.80,79.00,80.55,79.631786230619671967,40118,146,3194668.00,3775,9.41,2.80,0.55
3-May-2016,79.50,81.50,78.05,79.20,80.440829469345698093,38820,102,3122713.00,2636,6.79,3.45,-0.30
2-May-2016,81.00,82.80,79.00,79.70,81.021878527342155191,41639,146,3373670.00,4446,10.68,3.80,-1.30
29-April-2016,81.20,83.25,80.55,80.90,81.474162356644929165,44470,208,3623156.00,5215,11.73,2.70,-0.30
28-April-2016,80.70,84.00,80.70,81.80,82.200609860848651434,46568,296,3827918.00,10192,21.89,3.30,1.10
27-April-2016,83.00,84.25,80.05,83.15,82.886381575892649858,43074,333,3570248.00,3841,8.92,4.20,0.15
26-April-2016,82.20,84.60,82.05,83.00,83.339781874837704492,38510,149,3209415.00,2242,5.82,2.55,0.80
25-April-2016,86.40,86.50,81.55,82.45,84.097067596521446876,47606,349,4003525.00,5794,12.17,4.95,-3.95
22-April-2016,84.00,84.00,81.00,82.00,82.974291009825218725,50177,186,4163401.00,13566,27.04,3.00,-2.00
21-April-2016,84.00,87.50,80.70,81.40,84.433099821648555721,54387,288,4592063.00,12348,22.70,6.80,-2.60
20-April-2016,86.00,88.65,81.65,83.50,84.204392959843370791,49033,300,4128794.00,8158,16.64,7.00,-2.50
18-April-2016,76.00,91.65,74.10,86.20,82.616251661695543863,89517,544,7395559.00,13703,15.31,17.55,10.20
