,Date,Close,Change,Change_Percentage,PROC,rci,days
24,2000-02-07,5474.0,160.41,1.6041,0.00309779075252,50.6985796123,-5945.0
25,2000-02-08,5610.56,136.56,1.3656,-0.047332462199,50.3048557338,-5944.0
26,2000-02-09,5649.1,38.54,0.3854,-0.0419752357729,48.6804952334,-5943.0
27,2000-02-10,5789.04,139.94,1.3994,-0.069177464872,50.4122073702,-5942.0
28,2000-02-11,5933.56,144.52,1.4452,-0.0752338997425,50.4910950608,-5941.0
29,2000-02-14,5924.31,-9.25,-0.0925,-0.118575231766,47.8207805346,-5938.0
30,2000-02-15,5803.19,-121.12,-1.2112,-0.0568163607226,45.9715790696,-5937.0
31,2000-02-16,5725.5,-77.69,-0.7769,-0.0515499134958,46.8064283301,-5936.0
32,2000-02-17,5835.15,109.65,1.0965,-0.0665074105281,50.271684772,-5935.0
33,2000-02-18,5721.65,-113.5,-1.135,-0.0587668183425,46.4994752259,-5934.0
34,2000-02-21,5876.89,155.24,1.5524,-0.0754651377708,51.1175980989,-5931.0
35,2000-02-22,5883.33,6.44,0.0644,-0.0739452816963,48.6849571787,-5930.0
36,2000-02-23,5642.46,-240.87,-2.4087,-0.0535232831696,44.9666757865,-5929.0
37,2000-02-24,5810.17,167.71,1.6771,-0.0713841841768,51.3802583453,-5928.0
38,2000-02-25,5623.08,-187.09,-1.8709,-0.030234185773,46.4643224207,-5927.0
39,2000-02-28,5740.69,117.61,1.1761,-0.0694699308281,50.6993529684,-5924.0
40,2000-02-29,5446.98,-293.71,-2.9371,-0.0145052243393,45.6076457151,-5923.0
41,2000-03-01,5642.12,195.14,1.9514,-0.0574084485925,51.6419936146,-5922.0
42,2000-03-02,5528.31,-113.81,-1.1381,-0.0620561006207,48.1151056274,-5921.0
43,2000-03-03,5378.27,-150.04,-1.5004,-0.0312009878172,47.7155895591,-5920.0
44,2000-03-06,5520.69,142.42,1.4242,-0.0406735634091,51.1394382228,-5917.0
45,2000-03-07,5589.85,69.16,0.6916,-0.0467511455585,50.2772161009,-5916.0
46,2000-03-08,5511.42,-78.43,-0.7843,-0.0372309493205,48.5530661159,-5915.0
47,2000-03-09,5328.79,-182.63,-1.8263,0.0265272195835,47.3544487996,-5914.0
48,2000-03-10,5301.78,-27.01,-0.2701,0.0550355044773,49.3083524347,-5913.0
49,2000-03-13,5129.22,-172.56,-1.7256,0.0920288187499,47.5815908591,-5910.0
50,2000-03-14,5175.71,46.49,0.4649,0.105946754557,50.3189922535,-5909.0
51,2000-03-15,5249.76,74.05,0.7405,0.115242788478,50.6579247186,-5908.0
52,2000-03-16,5102.41,-147.35,-1.4735,0.138733455879,47.9127055207,-5907.0
53,2000-03-21,5133.24,30.83,0.3083,0.11544512587,50.1840576902,-5902.0
54,2000-03-22,5201.87,68.63,0.6863,0.0914557680552,50.6612340932,-5901.0
55,2000-03-23,5115.02,-86.85,-0.8685,0.123412422988,48.6570204786,-5900.0
56,2000-03-24,5141.42,26.4,0.264,0.101409558432,50.1585294268,-5899.0
57,2000-03-27,5146.3,4.88,0.0488,0.124315752039,49.8688050548,-5896.0
58,2000-03-28,5156.12,9.82,0.0982,0.123605169181,49.9382013876,-5895.0
59,2000-03-29,5102.46,-53.66,-0.5366,0.0957029380802,49.0264549408,-5894.0
60,2000-03-30,5041.08,-61.38,-0.6138,0.132369620854,48.9129145819,-5893.0
61,2000-03-31,5001.28,-39.8,-0.398,0.110579966851,49.2563466133,-5892.0
62,2000-04-03,5052.94,51.66,0.5166,0.119802671804,50.7240870637,-5889.0
63,2000-04-04,4691.46,-361.48,-3.6148,0.138704382979,44.6280617691,-5888.0
64,2000-04-05,4757.06,65.6,0.656,0.156866567886,50.9931762728,-5887.0
65,2000-04-06,4866.73,109.67,1.0967,0.11967129195,51.5934640104,-5886.0
66,2000-04-07,5219.2,352.47,3.5247,0.029576425133,54.7836033546,-5885.0
67,2000-04-10,5442.86,223.66,2.2366,0.0140978754467,52.8517632318,-5882.0
68,2000-04-11,5541.54,98.68,0.9868,0.00864245015519,51.0265529208,-5881.0
69,2000-04-12,5426.82,-114.72,-1.1472,0.0153499461119,48.0635741117,-5880.0
70,2000-04-13,5172.13,-254.69,-2.5469,0.0293987940977,46.2230699506,-5879.0
71,2000-04-17,4880.71,-291.42,-2.9142,0.0794204965125,45.7425272143,-5875.0
72,2000-04-18,4745.47,-135.24,-1.3524,0.0748164438258,48.1392703851,-5874.0
73,2000-04-19,4665.81,-79.66,-0.7966,0.0985178845028,48.9778018839,-5873.0
74,2000-04-20,4657.42,-8.39,-0.0839,0.112831824693,50.0602827035,-5872.0
75,2000-04-24,4511.05,-146.37,-1.4637,0.115898173608,47.9991355539,-5868.0
76,2000-04-25,4533.99,22.94,0.2294,0.116739135517,50.6079567648,-5867.0
77,2000-04-26,4792.95,258.96,2.5896,0.078610192104,53.9731958616,-5866.0
78,2000-04-27,4679.63,-113.32,-1.1332,0.0851199017795,48.521640083,-5865.0
79,2000-04-28,4657.55,-22.08,-0.2208,0.0941121324459,49.8202873979,-5864.0
80,2000-05-02,4372.22,-285.33,-2.8533,0.150414861162,46.2973048776,-5860.0
81,2000-05-03,4335.29,-36.93,-0.3693,0.159195286378,49.799200976,-5859.0
82,2000-05-04,4553.92,218.63,2.1863,0.107505007389,53.0894172479,-5858.0
83,2000-05-05,4693.88,139.96,1.3996,0.0688741301467,51.9927421917,-5857.0
84,2000-05-08,4463.4,-230.48,-2.3048,0.107548467592,47.1935661215,-5854.0
85,2000-05-09,4578.49,115.09,1.1509,0.093895830942,51.5546954244,-5853.0
86,2000-05-10,4458.4,-120.09,-1.2009,0.0496774991154,48.6934682535,-5852.0
87,2000-05-11,4251.36,-207.04,-2.0704,0.106305154865,47.6708550119,-5851.0
88,2000-05-12,4107.14,-144.22,-1.4422,0.156078105833,48.4879694303,-5850.0
89,2000-05-15,4212.53,105.39,1.0539,0.192878218884,51.6257507726,-5847.0
90,2000-05-16,4230.13,17.6,0.176,0.222811169128,50.4947867929,-5846.0
91,2000-05-17,4234.23,4.1,0.041,0.23591095616,50.3175736376,-5845.0
92,2000-05-18,4192.44,-41.79,-0.4179,0.227459174986,49.6977394949,-5844.0
93,2000-05-19,4068.65,-123.79,-1.2379,0.213351172534,48.5798146511,-5843.0
94,2000-05-22,3920.18,-148.47,-1.4847,0.196801285059,48.238381912,-5840.0
95,2000-05-23,3943.54,23.36,0.2336,0.168988530114,50.7574992599,-5839.0
96,2000-05-24,3933.65,-9.89,-0.0989,0.156920234643,50.2626377841,-5838.0
97,2000-05-25,3999.03,65.38,0.6538,0.14136367345,51.3843840768,-5837.0
98,2000-05-26,4084.71,85.68,0.8568,0.094510147305,51.6915789854,-5836.0
99,2000-05-29,4189.85,105.14,1.0514,0.0759022406313,51.9955774738,-5833.0
100,2000-05-30,4311.77,121.92,1.2192,0.100393285972,52.2663642005,-5832.0
101,2000-05-31,4433.61,121.84,1.2184,0.0525725324438,52.264894735,-5831.0
102,2000-06-01,4325.47,-108.14,-1.0814,0.0712992882524,48.1927427432,-5830.0
103,2000-06-02,4453.47,128.0,1.28,-0.0185832368911,52.1913183471,-5829.0
104,2000-06-05,4531.53,78.06,0.7806,-0.045265714635,51.3156321015,-5826.0
105,2000-06-06,4591.68,60.15,0.6015,-0.00829175743096,50.994836307,-5825.0
106,2000-06-07,4604.84,13.16,0.1316,0.0189693814073,50.1351571871,-5824.0
107,2000-06-08,4728.81,123.97,1.2397,-0.0594636375857,52.1249069986,-5823.0
108,2000-06-09,4729.63,0.82,0.0082,-0.0330108835009,49.8153543938,-5822.0
109,2000-06-12,4639.46,-90.17,-0.9017,-0.040610981518,48.1668312599,-5819.0
110,2000-06-13,4615.13,-24.33,-0.2433,-0.0855655601972,49.4327404483,-5818.0
111,2000-06-14,4625.04,9.91,0.0991,-0.126097479024,50.0953909623,-5817.0
112,2000-06-15,4653.22,28.18,0.2818,-0.104614091769,50.4575526656,-5816.0
113,2000-06-16,4764.67,111.45,1.1145,-0.126364910771,52.1134396116,-5815.0
114,2000-06-19,4837.24,72.57,0.7257,-0.142413142413,51.27684063,-5812.0
115,2000-06-20,4863.9,26.66,0.2666,-0.16015971606,50.2803975678,-5811.0
116,2000-06-21,4731.57,-132.33,-1.3233,-0.162933651211,46.9754124892,-5810.0
117,2000-06-22,4794.16,62.59,0.6259,-0.222943844415,51.0955431459,-5809.0
118,2000-06-23,4721.7,-72.46,-0.7246,-0.197325245845,48.3729686514,-5808.0
119,2000-06-26,4670.09,-51.61,-0.5161,-0.187215436045,48.8131903442,-5805.0
120,2000-06-27,4686.91,16.82,0.1682,-0.17201171284,50.2682267743,-5804.0
121,2000-06-28,4748.8,61.89,0.6189,-0.162579473206,51.2229500463,-5803.0
122,2000-06-29,4792.74,43.94,0.4394,-0.143892979462,50.8167569295,-5802.0
123,2000-06-30,4748.77,-43.97,-0.4397,-0.101350489474,48.8340009754,-5801.0
124,2000-07-03,4844.98,96.21,0.9621,-0.092784435257,51.9588473216,-5798.0
125,2000-07-04,4887.06,42.08,0.4208,-0.129833289793,50.7086280298,-5797.0
126,2000-07-05,4912.11,25.05,0.2505,-0.102984863488,50.3104596668,-5796.0
